,longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
67,-122.29,37.8,52,1027,244,492,147,2.6094,81300,NEAR BAY
68,-122.3,37.81,52,572,109,274,82,1.8516,85000,NEAR BAY
69,-122.29,37.81,46,2801,644,1823,611,0.9802,129200,NEAR BAY
70,-122.29,37.81,26,768,152,392,127,1.7719,82500,NEAR BAY
71,-122.29,37.81,46,935,297,582,277,0.7286,95200,NEAR BAY
72,-122.29,37.81,49,844,204,560,152,1.75,75000,NEAR BAY
73,-122.29,37.81,46,12,4,18,7,0.4999,67500,NEAR BAY
74,-122.29,37.81,20,835,161,290,133,2.483,137500,NEAR BAY
75,-122.28,37.81,17,1237,462,762,439,0.9241,177500,NEAR BAY
76,-122.28,37.81,36,2914,562,1236,509,2.4464,102100,NEAR BAY
77,-122.28,37.81,19,1207,243,721,207,1.1111,108300,NEAR BAY
78,-122.29,37.81,23,1745,374,1054,325,0.8026,112500,NEAR BAY
79,-122.28,37.8,38,684,176,344,155,2.0114,131300,NEAR BAY
80,-122.28,37.81,17,924,289,609,289,1.5,162500,NEAR BAY
81,-122.27,37.81,52,210,56,183,56,1.1667,112500,NEAR BAY
82,-122.28,37.81,52,340,97,200,87,1.5208,112500,NEAR BAY
83,-122.28,37.81,52,386,164,346,155,0.8075,137500,NEAR BAY
84,-122.28,37.81,35,948,184,467,169,1.8088,118800,NEAR BAY
85,-122.28,37.81,52,773,143,377,115,2.4083,98200,NEAR BAY
86,-122.27,37.81,40,880,451,582,380,0.977,118800,NEAR BAY
87,-122.27,37.81,10,875,348,546,330,0.76,162500,NEAR BAY
88,-122.27,37.8,10,105,42,125,39,0.9722,137500,NEAR BAY
89,-122.27,37.8,52,249,78,396,85,1.2434,500001,NEAR BAY
90,-122.27,37.8,16,994,392,800,362,2.0938,162500,NEAR BAY
91,-122.28,37.8,52,215,87,904,88,0.8668,137500,NEAR BAY
92,-122.28,37.8,52,96,31,191,34,0.75,162500,NEAR BAY
93,-122.27,37.79,27,1055,347,718,302,2.6354,187500,NEAR BAY
94,-122.27,37.8,39,1715,623,1327,467,1.8477,179200,NEAR BAY
95,-122.26,37.8,36,5329,2477,3469,2323,2.0096,130000,NEAR BAY
96,-122.26,37.82,31,4596,1331,2048,1180,2.8345,183800,NEAR BAY
97,-122.26,37.81,29,335,107,202,91,2.0062,125000,NEAR BAY
98,-122.26,37.82,22,3682,1270,2024,1250,1.2185,170000,NEAR BAY
99,-122.26,37.82,37,3633,1085,1838,980,2.6104,193100,NEAR BAY
100,-122.25,37.81,29,4656,1414,2304,1250,2.4912,257800,NEAR BAY
101,-122.25,37.81,28,5806,1603,2563,1497,3.2177,273400,NEAR BAY
102,-122.25,37.81,39,854,242,389,228,3.125,237500,NEAR BAY
103,-122.25,37.81,52,2155,701,895,613,2.5795,350000,NEAR BAY
104,-122.26,37.81,34,5871,1914,2689,1789,2.8406,335700,NEAR BAY
105,-122.24,37.82,52,1509,225,674,244,4.9306,313400,NEAR BAY
106,-122.24,37.81,52,2026,482,709,456,3.2727,268500,NEAR BAY
107,-122.25,37.81,52,1758,460,686,422,3.1691,259400,NEAR BAY
108,-122.24,37.82,52,3481,751,1444,718,3.9,275700,NEAR BAY
109,-122.25,37.82,28,3337,855,1520,802,3.9063,225000,NEAR BAY
110,-122.25,37.82,52,1424,289,550,253,5.0917,262500,NEAR BAY
111,-122.25,37.82,32,3809,1098,1806,1022,2.6429,218500,NEAR BAY
112,-122.25,37.82,26,3959,1196,1749,1217,3.0233,255000,NEAR BAY
113,-122.25,37.83,52,2376,559,939,519,3.1484,224100,NEAR BAY
114,-122.25,37.83,35,1613,428,675,422,3.4722,243100,NEAR BAY
115,-122.25,37.83,52,1279,287,534,291,3.1429,231600,NEAR BAY
116,-122.25,37.83,28,5022,1750,2558,1661,2.4234,218500,NEAR BAY
117,-122.25,37.83,52,4190,1105,1786,1037,3.0897,234100,NEAR BAY
118,-122.23,37.84,50,2515,399,970,373,5.8596,327600,NEAR BAY
119,-122.23,37.84,47,3175,454,1098,485,5.2868,347600,NEAR BAY
120,-122.24,37.83,41,2576,406,794,376,5.956,366100,NEAR BAY
121,-122.24,37.85,37,334,54,98,47,4.9643,335000,NEAR BAY
122,-122.23,37.85,52,2800,411,1061,403,6.3434,373600,NEAR BAY
123,-122.24,37.84,52,3529,574,1177,555,5.1773,389500,NEAR BAY
124,-122.24,37.85,52,2612,365,901,367,7.2354,391100,NEAR BAY
125,-122.22,37.85,28,5287,1048,2031,956,5.457,337300,NEAR BAY
126,-122.22,37.84,50,2935,473,1031,479,7.5,295200,NEAR BAY
127,-122.21,37.84,44,3424,597,1358,597,6.0194,292300,NEAR BAY
128,-122.21,37.83,40,4991,674,1616,654,7.5544,411500,NEAR BAY
129,-122.2,37.84,30,2211,346,844,343,6.0666,311500,NEAR BAY
130,-122.21,37.84,34,3038,490,1140,496,7.0548,325900,NEAR BAY
131,-122.19,37.84,18,1617,210,533,194,11.6017,392600,NEAR BAY
132,-122.2,37.84,35,2865,460,1072,443,7.4882,319300,NEAR BAY
133,-122.21,37.83,34,5065,788,1627,766,6.8976,333300,NEAR BAY
134,-122.19,37.83,28,1326,184,463,190,8.2049,335200,NEAR BAY
135,-122.2,37.83,26,1589,223,542,211,8.401,351200,NEAR BAY
136,-122.19,37.83,29,1791,271,661,269,6.8538,368900,NEAR BAY
137,-122.19,37.82,32,1835,264,635,263,8.317,365900,NEAR BAY
138,-122.2,37.82,37,1229,181,420,176,7.0175,366700,NEAR BAY
139,-122.2,37.82,39,3770,534,1265,500,6.3302,362800,NEAR BAY
140,-122.18,37.81,30,292,38,126,52,6.3624,483300,NEAR BAY
141,-122.21,37.82,52,2375,333,813,350,7.0549,331400,NEAR BAY
142,-122.2,37.81,45,2964,436,1067,426,6.7851,323500,NEAR BAY
143,-122.21,37.8,50,2833,605,1260,552,2.8929,216700,NEAR BAY
144,-122.21,37.8,38,2254,535,951,487,3.0812,233100,NEAR BAY
145,-122.21,37.81,52,1389,212,510,224,5.2402,296400,NEAR BAY
146,-122.22,37.81,52,1971,335,765,308,6.5217,273700,NEAR BAY
147,-122.22,37.8,52,2183,465,1129,460,3.2632,227700,NEAR BAY
148,-122.22,37.8,52,2286,464,1073,441,3.0298,199600,NEAR BAY
149,-122.22,37.8,52,2721,541,1185,515,4.5428,239800,NEAR BAY
150,-122.22,37.81,52,2024,339,756,340,4.072,270100,NEAR BAY
151,-122.22,37.81,52,2944,536,1034,521,5.3509,302100,NEAR BAY
152,-122.23,37.8,52,2033,486,787,459,3.1603,269500,NEAR BAY
153,-122.23,37.81,52,1433,229,612,213,4.7708,314700,NEAR BAY
154,-122.22,37.81,52,2927,402,1021,380,8.1564,390100,NEAR BAY
155,-122.23,37.81,52,2315,292,861,258,8.8793,410300,NEAR BAY
156,-122.24,37.81,52,2485,313,953,327,6.8591,352400,NEAR BAY
157,-122.24,37.81,52,1490,238,634,256,6.0302,287300,NEAR BAY
158,-122.23,37.81,52,2814,365,878,352,7.508,348700,NEAR BAY
159,-122.24,37.81,52,2093,550,918,483,2.7477,243800,NEAR BAY
160,-122.24,37.8,52,888,168,360,175,2.1944,211500,NEAR BAY
161,-122.25,37.8,52,2087,510,1197,488,3.0149,218400,NEAR BAY
162,-122.24,37.81,52,2513,502,1048,518,3.675,269900,NEAR BAY
163,-122.25,37.81,46,3232,835,1373,747,3.225,218800,NEAR BAY
164,-122.25,37.8,42,4120,1065,1715,1015,2.9345,225000,NEAR BAY
165,-122.25,37.8,43,2364,792,1359,722,2.1429,250000,NEAR BAY
166,-122.25,37.8,41,1471,469,1062,413,1.6121,171400,NEAR BAY
167,-122.25,37.8,29,2468,864,1335,773,1.3929,193800,NEAR BAY
168,-122.24,37.79,27,1632,492,1171,429,2.3173,125000,NEAR BAY
169,-122.25,37.79,45,1786,526,1475,460,1.7772,97500,NEAR BAY
170,-122.25,37.79,50,629,188,742,196,2.6458,125000,NEAR BAY
171,-122.25,37.79,52,1339,391,1086,363,2.181,138800,NEAR BAY
172,-122.25,37.8,36,1678,606,1645,543,2.2303,116700,NEAR BAY
173,-122.25,37.8,43,2344,647,1710,644,1.6504,151800,NEAR BAY
174,-122.24,37.8,52,996,228,731,228,2.2697,127000,NEAR BAY
175,-122.24,37.8,52,1591,373,1118,347,2.1563,128600,NEAR BAY
176,-122.24,37.8,52,1586,398,1006,335,2.1348,140600,NEAR BAY
177,-122.24,37.8,47,2046,588,1213,554,2.6292,182700,NEAR BAY
178,-122.23,37.8,52,1192,289,772,257,2.3833,146900,NEAR BAY
179,-122.24,37.8,52,1803,420,1321,401,2.957,122800,NEAR BAY
180,-122.24,37.8,49,2838,749,1487,677,2.5238,169300,NEAR BAY
181,-122.23,37.8,52,783,184,488,186,1.9375,126600,NEAR BAY
182,-122.23,37.8,51,1590,414,949,392,1.9028,127900,NEAR BAY
183,-122.23,37.8,50,1746,480,1149,415,2.25,123500,NEAR BAY
184,-122.23,37.8,52,1252,299,844,280,2.3929,111900,NEAR BAY
185,-122.23,37.79,43,5963,1344,4367,1231,2.1917,112800,NEAR BAY
186,-122.23,37.79,52,1783,395,1659,412,2.9357,107900,NEAR BAY
187,-122.23,37.79,30,999,264,1011,263,1.8854,137500,NEAR BAY
188,-122.24,37.79,39,1469,431,1464,389,2.1638,105500,NEAR BAY
189,-122.24,37.79,47,1372,395,1237,303,2.125,95500,NEAR BAY
190,-122.24,37.79,52,674,180,647,168,3.375,116100,NEAR BAY
191,-122.24,37.79,43,1626,376,1284,357,2.2542,112200,NEAR BAY
192,-122.25,37.79,51,175,43,228,55,2.1,75000,NEAR BAY
193,-122.25,37.79,39,461,129,381,123,1.6,112500,NEAR BAY
194,-122.25,37.79,52,902,237,846,227,3.625,125000,NEAR BAY
195,-122.26,37.8,20,2373,779,1659,676,1.6929,115000,NEAR BAY
196,-122.22,37.77,52,391,128,520,138,1.6471,95000,NEAR BAY
197,-122.22,37.77,52,1137,301,866,259,2.59,96400,NEAR BAY
198,-122.23,37.77,52,769,206,612,183,2.57,72000,NEAR BAY
199,-122.23,37.78,52,472,146,415,126,2.6429,71300,NEAR BAY
200,-122.23,37.78,52,862,215,994,213,3.0257,80800,NEAR BAY
201,-122.22,37.78,50,1920,530,1525,477,1.4886,128800,NEAR BAY
202,-122.23,37.78,43,1420,472,1506,438,1.9338,112500,NEAR BAY
203,-122.23,37.78,52,986,258,1008,255,1.4844,119400,NEAR BAY
204,-122.23,37.78,44,2340,825,2813,751,1.6009,118100,NEAR BAY
205,-122.23,37.79,48,1696,396,1481,343,2.0375,122500,NEAR BAY
206,-122.23,37.79,49,1175,217,859,219,2.293,106300,NEAR BAY
207,-122.22,37.79,37,2343,574,1608,523,2.1494,132500,NEAR BAY
208,-122.23,37.79,30,610,145,425,140,1.6198,122700,NEAR BAY
209,-122.23,37.79,40,930,199,564,184,1.3281,113300,NEAR BAY
210,-122.22,37.79,44,1487,314,961,272,3.5156,109500,NEAR BAY
211,-122.22,37.79,52,3424,690,2273,685,3.9048,164700,NEAR BAY
212,-122.21,37.79,52,762,190,600,195,3.0893,125000,NEAR BAY
213,-122.22,37.79,46,2366,575,1647,527,2.6042,124700,NEAR BAY
214,-122.22,37.79,49,1826,450,1201,424,2.5,136700,NEAR BAY
215,-122.22,37.79,38,3049,711,2167,659,2.7969,141700,NEAR BAY
216,-122.2,37.79,29,1640,376,939,340,2.8321,150000,NEAR BAY
217,-122.21,37.79,47,1543,307,859,292,2.9583,138800,NEAR BAY
218,-122.21,37.79,34,2364,557,1517,516,2.8365,139200,NEAR BAY
219,-122.21,37.79,35,1745,409,1143,386,2.875,143800,NEAR BAY
220,-122.21,37.8,39,2003,500,1109,464,3.0682,156500,NEAR BAY
221,-122.21,37.8,39,2018,447,1221,446,3.0757,151000,NEAR BAY
222,-122.2,37.8,43,3045,499,1115,455,4.9559,273000,NEAR BAY
223,-122.2,37.8,52,1547,293,706,268,4.7721,217100,NEAR BAY
224,-122.21,37.8,52,3519,711,1883,706,3.4861,187100,NEAR BAY
225,-122.2,37.8,41,2070,354,804,340,5.1184,239600,NEAR BAY
226,-122.21,37.8,48,1321,263,506,252,4.0977,229700,NEAR BAY
227,-122.19,37.8,48,1694,259,610,238,4.744,257300,NEAR BAY
228,-122.19,37.8,46,1938,341,768,332,4.2727,246900,NEAR BAY
229,-122.19,37.79,50,968,195,462,184,2.9844,179900,NEAR BAY
230,-122.2,37.79,40,1060,256,667,235,4.1739,169600,NEAR BAY
231,-122.2,37.8,46,2041,405,1059,399,3.8487,203300,NEAR BAY
232,-122.19,37.8,52,1813,271,637,277,4.0114,263400,NEAR BAY
233,-122.19,37.79,45,2718,451,1106,454,4.6563,231800,NEAR BAY
234,-122.19,37.79,28,3144,761,1737,669,2.9297,140500,NEAR BAY
235,-122.2,37.79,35,1802,459,1009,390,2.3036,126000,NEAR BAY
236,-122.2,37.79,49,882,195,737,210,2.6667,122000,NEAR BAY
237,-122.2,37.79,44,1621,452,1354,491,2.619,134700,NEAR BAY
238,-122.21,37.79,45,2115,533,1530,474,2.4167,139400,NEAR BAY
239,-122.2,37.79,45,2021,528,1410,480,2.7788,115400,NEAR BAY
240,-122.21,37.78,46,2239,508,1390,569,2.7352,137300,NEAR BAY
241,-122.21,37.78,52,1477,300,1065,269,1.8472,137000,NEAR BAY
242,-122.21,37.78,52,1056,224,792,245,2.6583,142600,NEAR BAY
243,-122.21,37.78,49,898,244,779,245,3.0536,137500,NEAR BAY
244,-122.22,37.78,44,2968,710,2269,610,2.3906,111700,NEAR BAY
245,-122.21,37.78,43,1702,460,1227,407,1.7188,126800,NEAR BAY
246,-122.21,37.78,47,881,248,753,241,2.625,111300,NEAR BAY
247,-122.22,37.77,40,494,114,547,135,2.8015,114800,NEAR BAY
248,-122.22,37.78,50,1776,473,1807,440,1.7276,102300,NEAR BAY
249,-122.22,37.78,44,1678,514,1700,495,2.0801,131900,NEAR BAY
250,-122.22,37.78,51,1637,463,1543,393,2.489,119100,NEAR BAY
251,-122.21,37.76,52,1420,314,1085,300,1.7546,80600,NEAR BAY
252,-122.21,37.77,52,591,173,353,137,4.0904,80600,NEAR BAY
253,-122.21,37.77,52,745,153,473,149,2.6765,88800,NEAR BAY
254,-122.2,37.77,49,2272,498,1621,483,2.4338,102400,NEAR BAY
255,-122.21,37.77,46,1234,375,1183,354,2.3309,98700,NEAR BAY
256,-122.21,37.77,43,1017,328,836,277,2.2604,100000,NEAR BAY
257,-122.19,37.77,42,932,254,900,263,1.8039,92300,NEAR BAY
258,-122.2,37.77,39,2689,597,1888,537,2.2562,94800,NEAR BAY
259,-122.2,37.77,41,1547,415,1024,341,2.0562,102000,NEAR BAY
260,-122.2,37.78,52,2300,443,1225,423,3.5398,158400,NEAR BAY
261,-122.2,37.78,39,1752,399,1071,376,3.1167,121600,NEAR BAY
262,-122.2,37.78,50,1867,403,1128,378,2.5401,129100,NEAR BAY
263,-122.2,37.77,43,2430,502,1537,484,2.898,121400,NEAR BAY
264,-122.21,37.78,44,1729,414,1240,393,2.3125,102800,NEAR BAY
265,-122.19,37.78,52,1026,180,469,168,2.875,160000,NEAR BAY
266,-122.19,37.77,52,2170,428,1086,425,3.3715,143900,NEAR BAY
267,-122.19,37.77,52,2329,445,1144,417,3.5114,151200,NEAR BAY
268,-122.19,37.78,52,2492,415,1109,375,4.3125,164400,NEAR BAY
269,-122.19,37.78,52,2198,397,984,369,3.22,156500,NEAR BAY
270,-122.18,37.78,33,142,31,575,47,3.875,225000,NEAR BAY
271,-122.19,37.78,49,1183,205,496,209,5.2328,174200,NEAR BAY
272,-122.19,37.78,52,1070,193,555,190,3.7262,166900,NEAR BAY
273,-122.2,37.78,45,1766,332,869,327,4.5893,163500,NEAR BAY
274,-122.18,37.79,39,617,95,236,106,5.2578,253000,NEAR BAY
275,-122.18,37.79,41,1411,233,626,214,7.0875,240700,NEAR BAY
276,-122.18,37.79,46,2109,387,922,329,3.9712,208100,NEAR BAY
277,-122.19,37.79,47,1229,243,582,256,2.9514,198100,NEAR BAY
278,-122.19,37.79,50,954,217,546,201,2.6667,172800,NEAR BAY
279,-122.18,37.81,37,1643,262,620,266,5.4446,336700,NEAR BAY
280,-122.18,37.8,34,1355,195,442,195,6.2838,318200,NEAR BAY
281,-122.18,37.8,23,2317,336,955,328,6.7527,285800,NEAR BAY
282,-122.13,37.77,24,2459,317,916,324,7.0712,293000,NEAR BAY
283,-122.16,37.79,22,12842,2048,4985,1967,5.9849,371000,NEAR BAY
284,-122.17,37.78,42,1524,260,651,267,3.6875,157300,NEAR BAY
285,-122.17,37.77,30,3326,746,1704,703,2.875,135300,NEAR BAY
286,-122.18,37.78,43,1985,440,1085,407,3.4205,136700,NEAR BAY
287,-122.18,37.78,50,1642,322,713,284,3.2984,160700,NEAR BAY
288,-122.17,37.78,49,893,177,468,181,3.875,140600,NEAR BAY
289,-122.17,37.78,52,653,128,296,121,4.175,144000,NEAR BAY
290,-122.16,37.77,47,1256,,570,218,4.375,161900,NEAR BAY
291,-122.16,37.77,48,977,194,446,180,4.7708,156300,NEAR BAY
292,-122.16,37.77,45,2324,397,968,384,3.5739,176000,NEAR BAY
293,-122.16,37.77,39,1583,349,857,316,3.0958,145800,NEAR BAY
294,-122.17,37.77,39,1612,342,912,322,3.3958,141900,NEAR BAY
295,-122.17,37.77,31,2424,533,1360,452,1.871,90700,NEAR BAY
296,-122.17,37.76,41,1594,367,1074,355,1.9356,90600,NEAR BAY
297,-122.17,37.76,47,2118,413,965,382,2.1842,107900,NEAR BAY
298,-122.18,37.76,37,1575,358,933,320,2.2917,107000,NEAR BAY
299,-122.17,37.76,38,1764,397,987,354,2.4333,98200,NEAR BAY
300,-122.18,37.76,50,1187,261,907,246,1.9479,89500,NEAR BAY
301,-122.18,37.76,52,754,175,447,165,3.9063,93800,NEAR BAY
302,-122.18,37.76,49,2308,452,1299,451,1.8407,96700,NEAR BAY
303,-122.18,37.77,27,909,236,396,157,2.0786,97500,NEAR BAY
304,-122.18,37.77,42,1180,257,877,268,2.8125,97300,NEAR BAY
305,-122.18,37.76,43,2018,408,1111,367,1.8913,91200,NEAR BAY
306,-122.19,37.76,49,1368,282,790,269,1.7056,91400,NEAR BAY
307,-122.18,37.77,52,2744,547,1479,554,2.2768,96200,NEAR BAY
308,-122.18,37.77,51,2107,471,1173,438,3.2552,120100,NEAR BAY
309,-122.18,37.77,52,1748,362,1029,366,2.0556,100000,NEAR BAY
310,-122.19,37.76,52,2024,391,1030,350,2.4659,94700,NEAR BAY
311,-122.2,37.76,47,1116,259,826,279,1.75,85700,NEAR BAY
312,-122.19,37.77,41,2036,510,1412,454,2.0469,89300,NEAR BAY
313,-122.19,37.77,45,1852,393,1132,349,2.7159,101400,NEAR BAY
314,-122.19,37.76,41,921,207,522,159,1.2083,72500,NEAR BAY
315,-122.19,37.76,45,995,238,630,237,1.925,74100,NEAR BAY
316,-122.2,37.75,36,606,132,531,133,1.5809,70000,NEAR BAY
317,-122.2,37.76,37,2680,736,1925,667,1.4097,84600,NEAR BAY
318,-122.19,37.76,38,1493,370,1144,351,0.7683,81800,NEAR BAY
319,-122.19,37.75,19,2207,565,1481,520,1.3194,81400,NEAR BAY
320,-122.19,37.75,28,856,189,435,162,0.8012,81800,NEAR BAY
321,-122.19,37.76,26,1293,297,984,303,1.9479,85800,NEAR BAY
322,-122.19,37.74,36,847,212,567,159,1.1765,87100,NEAR BAY
323,-122.18,37.74,42,541,154,380,123,2.3456,83500,NEAR BAY
324,-122.19,37.73,44,1066,253,825,244,2.1538,79700,NEAR BAY
325,-122.19,37.74,43,707,147,417,155,2.5139,83400,NEAR BAY
326,-122.19,37.73,45,1528,291,801,287,1.2625,84700,NEAR BAY
327,-122.18,37.73,42,909,215,646,198,2.9063,80000,NEAR BAY
328,-122.18,37.73,43,1391,293,855,285,2.5192,76400,NEAR BAY
329,-122.18,37.73,44,548,119,435,136,2.1111,79700,NEAR BAY
330,-122.18,37.73,42,4074,874,2736,780,2.455,82400,NEAR BAY
331,-122.17,37.74,41,1613,445,1481,414,2.4028,97700,NEAR BAY
332,-122.17,37.74,47,463,134,327,137,2.15,97200,NEAR BAY
333,-122.17,37.74,43,818,193,494,179,2.4776,101600,NEAR BAY
334,-122.17,37.73,43,1473,371,1231,341,2.1587,86500,NEAR BAY
335,-122.18,37.74,35,504,126,323,109,1.8438,90500,NEAR BAY
336,-122.17,37.74,46,1026,226,749,225,3.0298,107600,NEAR BAY
337,-122.17,37.74,46,769,183,693,178,2.25,84200,NEAR BAY
338,-122.18,37.74,46,2103,391,1339,354,2.2467,88900,NEAR BAY
339,-122.18,37.75,45,330,76,282,80,4.0469,80700,NEAR BAY
340,-122.18,37.75,46,941,218,621,195,1.325,87100,NEAR BAY
341,-122.17,37.75,38,992,,732,259,1.6196,85100,NEAR BAY
342,-122.18,37.75,45,990,261,901,260,2.1731,82000,NEAR BAY
343,-122.19,37.75,36,1126,263,482,150,1.9167,82800,NEAR BAY
344,-122.18,37.75,43,1036,233,652,213,2.069,84600,NEAR BAY
345,-122.18,37.75,36,1047,214,651,166,1.712,82100,NEAR BAY
346,-122.17,37.76,33,1280,307,999,286,2.5625,89300,NEAR BAY
347,-122.17,37.75,43,1587,320,907,306,1.9821,98300,NEAR BAY
348,-122.17,37.75,41,1257,271,828,230,2.5043,92300,NEAR BAY
349,-122.17,37.75,44,1218,248,763,254,2.3281,88800,NEAR BAY
350,-122.17,37.75,48,1751,390,935,349,1.4375,90000,NEAR BAY
351,-122.16,37.76,45,2299,514,1437,484,2.5122,95500,NEAR BAY
352,-122.16,37.75,38,2457,624,1516,482,1.5625,91700,NEAR BAY
353,-122.17,37.75,47,998,211,597,185,3.1587,100400,NEAR BAY
354,-122.17,37.76,40,1685,343,949,342,1.8426,94800,NEAR BAY
355,-122.16,37.76,46,1827,307,881,302,4.6696,164300,NEAR BAY
356,-122.16,37.76,36,2781,574,1438,519,2.4598,155500,NEAR BAY
357,-122.15,37.76,39,1823,286,763,270,6.0749,196900,NEAR BAY
358,-122.14,37.77,27,2229,365,1297,355,4.8304,279100,NEAR BAY
359,-122.14,37.76,34,1513,231,545,211,5.5701,252800,NEAR BAY
360,-122.13,37.76,26,3266,491,1222,533,5.37,275400,NEAR BAY
361,-122.12,37.75,33,1809,261,808,219,6.86,250000,NEAR BAY
362,-122.12,37.75,28,794,111,329,109,7.6923,329800,NEAR BAY
363,-122.14,37.75,36,690,105,299,109,4.0313,195500,NEAR BAY
364,-122.14,37.75,33,1334,200,579,202,6.8323,255900,NEAR BAY
